name,neighbourhood_cleansed,longitude,latitude,host_location,host_id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,license,property_type,room_type,accommodates,bathrooms_text,price,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
Condo in Shinagawa · ★4.85 · 2 bedrooms · 4 beds · 1.5 baths,Shinagawa Ku,139.7235,35.62633,"Tokyo, Japan",6504053,2013-05-21,100.0,91.0,0.0,2,t,Hotels and Inns Business Act,Entire condo,Entire home/apt,4,1.5 baths,213.5,13,35,64,228,4.85,4.92,2.02
Home in Taito city · ★4.94 · 2 bedrooms · 1 bath,Taito Ku,139.79885,35.71431,"Taito City, Japan",21004633,2014-09-06,100.0,100.0,0.0,6,t,Hotels and Inns Business Act,Entire home,Entire home/apt,8,1 bath,348.57,0,0,0,564,4.94,4.93,5.02
Rental unit in 新宿区 · ★4.86 · 1 bedroom · 1 shared bath,Shinjuku Ku,139.70432,35.69848,"Shinjuku City, Japan",8142772,2013-08-13,100.0,95.0,0.0,12,t,M1300,Private room in rental unit,Private room,2,1 shared bath,58.35,7,30,52,151,4.86,4.87,1.21
Rental unit in 新宿区 · ★4.82 · 1 bedroom · 8 beds · 1 shared bath,Shinjuku Ku,139.70433,35.69847,"Shinjuku City, Japan",8142772,2013-08-13,100.0,95.0,0.0,12,t,M1300,Shared room in rental unit,Shared room,8,1 shared bath,44.39,22,44,66,184,4.82,4.83,1.47
Rental unit in 新宿区 · ★4.82 · 1 bedroom · 8 beds · 1 shared bath,Shinjuku Ku,139.70433,35.69848,"Shinjuku City, Japan",8142772,2013-08-13,100.0,95.0,0.0,12,t,M1300,Shared room in rental unit,Shared room,8,1 shared bath,43.94,25,48,72,156,4.82,4.88,1.25
Home in Setagaya · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,Setagaya Ku,139.60988,35.65897,"Tokyo, Japan",8529477,2013-08-30,100.0,100.0,1.0,2,t,M1300,Private room in home,Private room,1,1 shared bath,27.45,0,7,37,47,4.8,4.52,0.38
Rental unit in Nakano-ku · ★4.72 · 1 bedroom · 1 bed · 1 bath,Nakano Ku,139.63328,35.73417,"Nakano, Japan",17736560,2014-07-06,100.0,100.0,0.0,10,t,Hotels and Inns Business Act,Entire rental unit,Entire home/apt,2,1 bath,52.1,19,49,79,86,4.72,4.58,0.81
Home in Setagaya City · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,Setagaya Ku,139.60847,35.65933,"Tokyo, Japan",8529477,2013-08-30,100.0,100.0,1.0,2,t,M1300,Private room in home,Private room,1,1.5 shared baths,183.28,0,0,0,21,4.95,4.67,0.32
Home in Katsushika · ★4.90 · 4 bedrooms · 5 beds · 2 baths,Katsushika Ku,139.85201,35.73784,"Katsushika City, Japan",7740848,2013-07-26,100.0,99.0,0.0,11,t,Hotels and Inns Business Act,Entire home,Entire home/apt,8,2 baths,430.31,13,36,54,356,4.9,4.67,2.87
Home in Ōta-ku · ★4.78 · 6 bedrooms · 9 beds · 2 baths,Ota Ku,139.72636,35.58958,"Tokyo, Japan",9203725,2013-10-03,100.0,82.0,1.0,1,t,M1300,Entire home,Entire home/apt,16,2 baths,801.72,25,55,85,63,4.78,4.87,0.51
